phase,stufe,topology,attacker_name,defender_algo,run_id,episode,agent,env_id,algorithm,timestep,episode_reward,episode_length,atk_invalid,atk_valid,atk_cj_reached,atk_cj_step,atk_won,atk_max_owned,atk_hold_reward,atk_eviction,def_reimage,def_block,def_allow,def_stop_svc,def_stop_svc_clean,def_start_svc,def_invalid,def_recovered,def_sla_break_steps
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,15,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,29423,2331.8,2000,0,2000,1,129,0,9,1894.8000000000025,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,16,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,31423,2155.15,2000,0,2000,1,144,0,8,1732.1500000000217,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,17,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,33423,1518.325,2000,0,2000,1,897,0,7,1113.3249999999962,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,18,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,35423,1857.675,2000,0,2000,1,271,0,7,1412.6750000000163,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,19,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,37423,2269.5999,2000,0,2000,1,217,0,9,1803.5999999999456,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,20,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,39423,2179.025,2000,0,2000,1,125,0,9,1735.024999999982,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,21,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,41423,2049.575,2000,0,2000,1,190,0,8,1608.5750000000128,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,22,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,43042,6187.4248,1619,0,1619,1,1619,1,10,836.4249999999756,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,23,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,45042,2086.075,2000,0,2000,1,105,0,8,1668.0749999999623,0.0,,,,,,,,,
evaluation,keiner,dmz,flat,None,eval_keiner_dmz_flat_seed1,24,attacker,CyberBattleDMZ-thesis-v0,MaskablePPO,47042,1979.725,2000,0,2000,1,400,0,8,1557.7249999999508,0.0,,,,,,,,,
